排名,產業,最高公司,最高平均年薪,最低公司,最低平均年薪,產業平均年薪
1,半導體業,晶焱,269.8,華泰/典範,47.1,141.8
2,電腦及週邊,緯穎,189.4,科誠,54.6,124.2
3,其他電子,鴻準,345.8,建暐,50,123.2
4,金融保險業,中信金,173,致和證,49.2,120.9
5,塑膠工業,台苯,162.3,國通,45.7,108.5
6,航運業,遠雄港,315.6,中連貨,37.9,104.4
7,鋼鐵工業,中鋼,151.3,官田鋼,42.6,99.9
8,水泥業,嘉泥,147.6,幸福,48.7,97.7
9,建材營造,華固,382.1,皇昌,53.2,95.7
10,資訊服務,安碁,133.6,天剛,55.4,94.8
11,油電燃氣,台汽電,137.7,全國,34,94.8
12,網通業,智易,192,兆勁,44.7,89.9
13,電子通路,長華,218.7,順發,38.5,88.7
14,其他,崑鼎,362,鉅明,41.4,84.6
15,化學工業,上緯投控,516.6,台蠟,50.7,82.8
16,造紙工業,永豐餘,365.3,士紙,55.9,82.5
17,光電業,應華,207.2,熒茂,43.9,81.8
18,電子零組件,精成科,343.2,霖宏,40.4,81・6
19,食品工業,南僑,245.9,大飲,38.7,79.9
20,生技醫療,智擎,267,大樹,39.4,71.2
21,汽車工業,和泰車,258.8,帝寶,48,69.8
22,橡膠工業,南帝,143.5,華豐,55.6,68.7  
23,貿易百貨,三商,468.7,南仁湖,36.6,68.2 
24,電器電纜,華新,88.4,三陽電,32.7,67.6 
25,電機機械,新麥,134.3,至寶電,38.3,66.6 
26,紡織纖維,聚陽,132.1,光明,43.6,64.6
27,玻璃陶瓷,凱薩衛浴,79.4,冠軍,55.1,56.7 
28,觀光事業,柏文,89,安心,24,53.5
